amfi_code,max_drawdown_pct
100016,-24.7344
100025,-4.3083
100033,-16.2172
101206,-11.2916
101207,-35.4469
101208,-0.1622
102885,-10.8599
102886,-28.0011
102887,-21.2854
118632,-17.4141
118633,-18.6297
118634,-23.3449
118635,-11.5115
118636,-8.3164
119092,-14.4016
119093,-21.7514
119094,-20.9609
119095,-51.6778
119120,-4.3287
119551,-15.0124
119552,-11.8035
119598,-28.706
119599,-52.5742
120503,-13.8979
120504,-12.5883
120505,-18.1885
120506,-19.8257
120507,-0.0977
120841,-17.5736
120842,-24.0035
120843,-12.974
120844,-0.1163
125497,-15.2
125498,-21.1173
148567,-11.2657
148568,-15.2726
148569,-16.3967
149322,-14.112
149323,-17.2481
149324,-31.1719
